epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.362,1.28605,1.06328,0.98305,0.88559,0.8015,0.90317,0.61838,1.10398,0.75818,0.97861,0.000665721,0.000665721,0.000665721
2,758.706,1.1819,0.71147,0.9654,0.89265,0.85886,0.93343,0.63732,1.1205,0.66659,0.99701,0.00130601,0.00130601,0.00130601
3,1117.86,1.14959,0.66134,0.95829,0.90138,0.84502,0.93021,0.6458,1.09024,0.6653,0.98933,0.00191989,0.00191989,0.00191989
4,1467.43,1.11546,0.6322,0.94774,0.8552,0.81254,0.90312,0.63298,1.10857,0.75496,0.98292,0.0018812,0.0018812,0.0018812
5,1860.4,1.08719,0.60772,0.94008,0.84351,0.84427,0.92287,0.64868,1.08405,0.66688,0.98039,0.0018416,0.0018416,0.0018416
6,2229.85,1.06178,0.58945,0.93367,0.83626,0.80204,0.89617,0.63217,1.0751,0.76511,0.98651,0.001802,0.001802,0.001802
7,2583.86,1.04262,0.57178,0.92778,0.84498,0.8152,0.90188,0.64869,1.06746,0.72065,0.9818,0.0017624,0.0017624,0.0017624
8,2949.91,1.026,0.5623,0.92339,0.864,0.84701,0.93108,0.66272,1.06647,0.62462,0.97873,0.0017228,0.0017228,0.0017228
9,3347.42,1.00916,0.55284,0.91936,0.85696,0.82649,0.91909,0.65894,1.06153,0.65408,0.98123,0.0016832,0.0016832,0.0016832
10,3697.01,0.99669,0.54282,0.91653,0.86371,0.81497,0.91301,0.6454,1.083,0.68341,0.9783,0.0016436,0.0016436,0.0016436
11,4070.86,0.98009,0.53193,0.91152,0.88588,0.86342,0.94097,0.67368,1.05957,0.59719,0.97928,0.001604,0.001604,0.001604
12,4413.96,0.96868,0.52319,0.90853,0.89737,0.8414,0.9325,0.66468,1.06604,0.618,0.98271,0.0015644,0.0015644,0.0015644
13,4759.62,0.95726,0.51584,0.90659,0.89595,0.81913,0.92378,0.6559,1.08787,0.65305,0.99302,0.0015248,0.0015248,0.0015248
14,5118.23,0.9509,0.51179,0.90525,0.89283,0.83399,0.92667,0.65761,1.08291,0.64633,0.98486,0.0014852,0.0014852,0.0014852
15,5479.51,0.93928,0.50422,0.90164,0.87818,0.84413,0.92963,0.66581,1.07135,0.655,0.9752,0.0014456,0.0014456,0.0014456
16,5840.93,0.93067,0.49943,0.89966,0.87628,0.83622,0.92813,0.65919,1.09194,0.64316,0.99187,0.001406,0.001406,0.001406
17,6200.24,0.92471,0.49426,0.89955,0.89164,0.83482,0.92915,0.65576,1.09066,0.64279,0.99182,0.0013664,0.0013664,0.0013664
18,6521.48,0.91632,0.48878,0.89711,0.88992,0.7984,0.91154,0.64693,1.08582,0.73436,0.98655,0.0013268,0.0013268,0.0013268
19,6895.28,0.90853,0.48422,0.89362,0.89756,0.82965,0.93179,0.66389,1.07444,0.64242,0.98252,0.0012872,0.0012872,0.0012872
20,7259.78,0.89977,0.47804,0.8925,0.89736,0.83578,0.92643,0.65901,1.08468,0.627,0.98882,0.0012476,0.0012476,0.0012476
21,7606.74,0.89311,0.47517,0.89188,0.86489,0.81899,0.91404,0.64581,1.09592,0.67195,0.99493,0.001208,0.001208,0.001208
22,7962.64,0.88783,0.47142,0.89022,0.87734,0.81413,0.91304,0.64946,1.08229,0.67893,0.99129,0.0011684,0.0011684,0.0011684
23,8323.91,0.87968,0.46675,0.8874,0.91169,0.82704,0.92612,0.66016,1.08395,0.64688,0.98749,0.0011288,0.0011288,0.0011288
24,8667,0.87353,0.46245,0.887,0.89683,0.82984,0.92319,0.65357,1.08726,0.64789,0.98532,0.0010892,0.0010892,0.0010892
25,9011.56,0.86756,0.45836,0.88522,0.88977,0.80435,0.91728,0.64891,1.09631,0.67741,0.99603,0.0010496,0.0010496,0.0010496
26,9368.43,0.86299,0.45561,0.88445,0.89033,0.8154,0.91776,0.65001,1.10406,0.68108,0.99552,0.00101,0.00101,0.00101
27,9717.57,0.85937,0.45334,0.88364,0.90499,0.79917,0.91339,0.65147,1.09282,0.68072,0.99636,0.0009704,0.0009704,0.0009704
28,10083.3,0.85445,0.45033,0.88289,0.89352,0.82966,0.92605,0.65892,1.08812,0.6493,0.99246,0.0009308,0.0009308,0.0009308
29,10433.1,0.84716,0.44627,0.88128,0.88851,0.82658,0.9192,0.6494,1.10286,0.67326,0.9943,0.0008912,0.0008912,0.0008912
30,10799.1,0.8443,0.4444,0.8809,0.89101,0.80072,0.91203,0.64211,1.11082,0.67603,1.00118,0.0008516,0.0008516,0.0008516
31,11161.5,0.83759,0.44051,0.87904,0.89348,0.81036,0.915,0.64852,1.10435,0.68272,1.00309,0.000812,0.000812,0.000812
32,11551,0.8327,0.43718,0.87795,0.89089,0.80389,0.91137,0.64581,1.1083,0.67807,1.00227,0.0007724,0.0007724,0.0007724
33,11899.2,0.82809,0.43504,0.8767,0.89907,0.82402,0.92036,0.65359,1.10079,0.65437,0.99826,0.0007328,0.0007328,0.0007328
34,12236.9,0.82135,0.43197,0.87558,0.89703,0.81067,0.91671,0.65111,1.10145,0.66874,1.00055,0.0006932,0.0006932,0.0006932
35,12587.1,0.8165,0.42811,0.87487,0.88171,0.81345,0.91367,0.64951,1.10355,0.68902,0.99707,0.0006536,0.0006536,0.0006536
36,12962.5,0.81225,0.42573,0.87315,0.879,0.80376,0.90789,0.64299,1.113,0.70881,1.00253,0.000614,0.000614,0.000614
37,13353.5,0.80941,0.4242,0.8724,0.88354,0.80204,0.90782,0.64252,1.11309,0.70535,1.00359,0.0005744,0.0005744,0.0005744
38,13707.9,0.80622,0.42336,0.87162,0.87889,0.81176,0.91239,0.64506,1.11442,0.67443,1.00661,0.0005348,0.0005348,0.0005348
39,14062.1,0.79915,0.41808,0.87119,0.88979,0.81313,0.91547,0.64842,1.10794,0.67535,1.00351,0.0004952,0.0004952,0.0004952
40,14408.7,0.79867,0.41785,0.87034,0.8819,0.80563,0.91044,0.64148,1.12445,0.6922,1.00745,0.0004556,0.0004556,0.0004556
41,14856.7,0.75517,0.39469,0.86704,0.88259,0.78936,0.89935,0.63805,1.12571,0.72643,1.01218,0.000416,0.000416,0.000416
